id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8TPQV1LCWDND-769Z	"Oculus Rift Earphones"	"Specially designed for the Oculus Rift headset, these in-ear headphones deliver immersive audio and fewer sound distractions during virtual-reality experiences. Passive noise isolation keeps the outside world away, while well-balanced sound with low distortion makes everything sound as good as it looks."	69.99	https://www.microsoft.com/en-ca/store/d/oculus-rift-earphones/8TPQV1LCWDND/769Z	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1nTci?ver=a032	new		815820020042	CA:::0.00	Oculus	Electronics	"Audio"	3P	yes	unisex	adult	Electronics > Audio > Audio Components > Headphones & Headsets						69.99
8TSHP571GP11-0V5Q	"Halo 2 Anniversary Special Edition Controller Stand"	"Show off your Xbox One controller with this officially licensed Halo 2 Anniversary stand."	12.99	https://www.microsoft.com/en-ca/store/d/halo-2-anniversary-special-edition-controller-stand/8TSHP571GP11/0V5Q	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW10M4?ver=66bb	new		861923000153	CA:::0.00	Marketing Instincts	Electronics	"Electronics Accessories"	3P	yes	unisex	adult	Electronics > Electronics Accessories > Computer Components > Input Device Accessories > Game Controller Accessories						12.99
8TTSF1Q97HKP-H79G	"Acer Windows Mixed Reality Headset with Motion Controllers"	"Escape into a world of imagination with Windows Mixed Reality.¹ Set up your virtual home with great content—travel, sports, culture, live concerts, and games—in 10 minutes or less.² All you need is a headset and a compatible Windows PC.  "	599	https://www.microsoft.com/en-ca/store/d/acer-windows-mixed-reality-headset-with-motion-controllers/8TTSF1Q97HKP/H79G	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1DxOu?ver=eeb2	new		191114374870	CA:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						599
8TWN38G45QLV-H2D9	"Assassin's Creed Origins Standard Edition for Xbox One"	"Prove your worth as you unravel the origin story of the Assassin’s brotherhood."	79.99	https://www.microsoft.com/en-ca/store/d/assassins-creed-origins-for-xbox-one/8TWN38G45QLV/H2D9	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9OLn?ver=c9a6	new		887256028466	CA:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.99
8TWN38G45QLV-HBZ7	"Assassin's Creed Origins Deluxe Edition for Xbox One"	"Prove your worth as you unravel the origin story of the Assassin’s brotherhood.  The Deluxe Edition includes the base game, The Ambush at Sea mission, The Desert Cobra Pack, and 3 Ability Points."	69.99	https://www.microsoft.com/en-ca/store/d/assassins-creed-origins-for-xbox-one/8TWN38G45QLV/HBZ7	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9RlU?ver=3526	new			CA:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						69.99
8TXJ08Q9LXDT-4KV4	"Microsoft Surface Book - 512GB / Intel Core i5 (French)"	" 6th Gen Intel Core i5, 512GB SSD, 8GB RAM  13.5-inch PixelSense Display touchscreen  Surface Pen included  Windows 10 Pro  Free 3-month trial of Adobe Creative Cloud Photography plan plus 1TB of cloud storage with purchase* "	2629	https://www.microsoft.com/en-ca/store/d/surface-book/8TXJ08Q9LXDT/4KV4	Surface	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta7?ver=d80d	new		889842167092	CA:::0.00	Microsoft	Electronics	"Computers"	1P	yes	unisex	adult	Electronics > Computers > Tablet Computers						2129
8V1180SCSB6F-8GH4	"Xbox One Tom Clancy's Rainbow Six Siege Bundle (1TB)"	"The Xbox One Tom Clancy’s Rainbow Six Siege Bundle (1TB)¹ includes:  1TB Xbox One console  Xbox One wireless controller  Tom Clancy’s Rainbow Six Siege  Xbox 360 full game downloads of Rainbow Six Vegas and Rainbow Six Vegas 2 (playable on Xbox One)  14-day Xbox Live Gold trial "	299	https://www.microsoft.com/en-ca/store/d/xbox-one-tom-clancys-rainbow-six-siege-bundle-1tb/8V1180SCSB6F/8GH4	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWilCv?ver=a002	new		889842071597	CA:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						299
8V2WFWQDHGP0-04DT	"Little Nightmares Six Edition for Xbox One"	"Unravel the secrets of the Maw and help Six escape to the outside world. Six Edition includes Little Nightmares full game, Six figurine, themed cage box, exclusive A3 poster, sticker board, and original soundtrack CD composed by Tobias Lilja."	49.99	https://www.microsoft.com/en-ca/store/d/little-nightmares-six-edition-for-xbox-one/8V2WFWQDHGP0/04DT	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW6aug?ver=3a0d	new		722674220859	CA:::0.00	Namco	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						49.99
8V4WDR1DRNXF-JF3X	"Middle-earth: Shadow of Mordor for Xbox One"	"This action-packed adventure-RPG is inspired by J.R.R. Tolkien's The Hobbit and The Lord of the Rings."	11.99	https://www.microsoft.com/en-ca/store/d/middle-earth-shadow-of-mordor-for-xbox-one/8V4WDR1DRNXF/JF3X	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW2BlU?ver=0472	new		883929327201	CA:::0.00	WB Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						11.99
8V6J73ZJNPN8-D655	"MXGP 3 for Xbox One"	"The all-new Unreal 4 game engine combined with unpredictable, dynamic weather conditions make this the most challenging Motocross racing game yet. "	39.99	https://www.microsoft.com/en-ca/store/d/mxgp-3-for-xbox-one/8V6J73ZJNPN8/D655	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW5Aqv?ver=3fd4	new		662248919751	CA:::0.00	Square Enix	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						39.99
8V6X3TKBC9N2-2QGP	"Hunting Simulator for Xbox One"	"Choose hunting gears and firearms of your choice, master tracking game animals, and live the adventure of the hunt in Hunting Simulator."	39.99	https://www.microsoft.com/en-ca/store/d/hunting-simulator-for-xbox-one/8V6X3TKBC9N2/2QGP	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8WCt?ver=ccfc	new		814290013981	CA:::0.00	Maximum Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						39.99
8V8PXDLSXDBG-3029	"Microsoft Surface Ergonomic Keyboard - English"	"Microsoft® Surface Ergonomic Keyboard SC Bluetooth English GRAY Canada 1 License"	169.99	https://www.microsoft.com/en-ca/store/d/surface-ergonomic-keyboard/8V8PXDLSXDBG/3029	Surface	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1xN9q?ver=19f2	new		889842111903	CA:::0.00	Microsoft	Electronics	"Electronics Accessories"	1P	yes	unisex	adult	Electronics > Electronics Accessories > Computer Components > Input Devices > Keyboards						169.99
8VBSN6B7WTJ5-3MKN	"Fallout 4: Game of the Year Edition PC Game"	"Fight for survival, rebuild and determine the fate of the Wasteland, a world destroyed by nuclear war. This edition includes the fully updated original game along with all six add-ons: Nuka-World, Vault-Tec Workshop, Contraptions Workshop, Far Harbor, Wasteland Workshop, and Automatron."	79.99	https://www.microsoft.com/en-ca/store/d/fallout-4-game-of-the-year-edition-pc-game/8VBSN6B7WTJ5/3MKN	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1DCT5?ver=8c10	new		093155172562	CA:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						79.99
8VCW8GLN9VRF-LJVK	"Xbox One Wireless Controller"	"Experience the unique intensity, precision, and comfort of the sleek Xbox One Wireless Controller, featuring Impulse Triggers, responsive thumbsticks and a 3.5mm stereo headset jack.*  Compatible with Xbox One, Xbox One S, and Xbox One X consoles."	74.99	https://www.microsoft.com/en-ca/store/d/xbox-one-wireless-controller/8VCW8GLN9VRF/LJVK	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1la61?ver=384c	new		889842159349	CA:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						74.99
8VGK2V7H5C6Z-2M2B	"Xbox Wireless Controller - Patrol Tech Special Edition"	"This special edition Xbox controller features a sleek, dark-blue military design, diamond rubberized grip for enhanced comfort, and Bluetooth technology for gaming on Windows 10 PCs and tablets."	79.99	https://www.microsoft.com/en-ca/store/d/xbox-wireless-controller---patrol-tech-special-edition/8VGK2V7H5C6Z/2M2B	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1B4tQ?ver=3aeb	new		889842196177	CA:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						79.99
8VGK6PMXXLR4-01V5	"Dishonored: The Death of the Outsider for Xbox One"	"Take on the role of Billie Lurk, who is on a mission to assassinate the Outsider. Venture deep into the dark underbelly of Karnaca to uncover the mystery of the Outsider and his origins."	39.99	https://www.microsoft.com/en-ca/store/d/dishonored-the-death-of-the-outsider-for-xbox-one/8VGK6PMXXLR4/01V5	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWcVrT?ver=9547	new		093155172289	CA:::0.00	Bethesda	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						39.99
8VJJ6J1KSQKS-06SK	"Microsoft Halo Reach - REPLEN Xbox 360"	"Microsoft® Halo Reach Xbox 360 English North America 1 License NTSC DVD Platinum Hits"	19.99	https://www.microsoft.com/en-ca/store/d/halo-reach-for-xbox-360/8VJJ6J1KSQKS/06SK	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1lslM?ver=1c8b	new		885370230659	CA:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						19.99
8VNH1QQP9C8F-KCB1	"Pillars of Eternity: Complete Edition for Xbox One"	"Prepare to be enchanted by the fantasy world of Dyrwood where the choices you make and the paths you choose shape your fate. The Complete Edition includes all major updates from the original PC version, including all DLC and expansions."	69.99	https://www.microsoft.com/en-ca/store/d/pillars-of-eternity-complete-edition-for-xbox-one/8VNH1QQP9C8F/KCB1	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1BZmR?ver=b52c	new			CA:::0.00	505 Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						69.99
8VNT230LJXN3-8Q3F	"HTC VIVE Standard Strap"	"Swap out the original with this replacement strap for your VIVE headset. Includes 5 Standard Straps."	134.99	https://www.microsoft.com/en-ca/store/d/htc-vive-standard-strap/8VNT230LJXN3/8Q3F	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9uzK?ver=db0a	new		821793050665	CA:::0.00	HTC	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						104.99
8VNT230LJXN3-G8Q8	"HTC VIVE Standard Strap"	"Swap out the original with this replacement strap for your VIVE headset. "	29.99	https://www.microsoft.com/en-ca/store/d/htc-vive-standard-strap/8VNT230LJXN3/G8Q8	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9uzG?ver=25db	new		821793050627	CA:::0.00	HTC	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						19.99
8VRR6QD68C12-KWBL	"Forza Horizon 2 for Xbox One"	"Grab the wheel and set off on an epic road trip in Forza Horizon 2. More than 200 cars are at your disposal—from extreme off-roaders to modern supercars, classic muscle, and much more—as you race through a massive wide-open world in the ultimate celebration of speed, style, and action."	49.99	https://www.microsoft.com/en-ca/store/d/forza-horizon-2-for-xbox-one/8VRR6QD68C12/KWBL	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1la6r?ver=2170	new		885370848977	CA:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						49.99
8VVHCG3K376Q-91XP	"Seagate Game Drive Hub for Xbox (8TB)"	"Store up to 200-plus games with an officially licensed 8TB game drive for Xbox. Works with Xbox One or Xbox One S."	269.99	https://www.microsoft.com/en-ca/store/d/seagate-game-drive-hub-for-xbox-8tb/8VVHCG3K376Q/91XP	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1BbYU?ver=ecdc	new			CA:::0.00		Software	"Video Game Software"		no	unisex	adult	Software > Video Game Software						269.99
8VXKMDFQQXSN-N0KZ	"Kingdom Hearts III for Xbox One"	"Revealed at E3 2016, now available for pre-order.  Release Date: December 31, 2018"	79.99	https://www.microsoft.com/en-ca/store/d/kingdom-hearts-iii-for-xbox-one/8VXKMDFQQXSN/N0KZ	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uGGf?ver=b478	new		662248915081	CA:::0.00	Square Enix	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.99
8W23VXQ3466B-3QDT	"505 Games Abzu Canada Xbox One"	"505 Games Abzu Canada Xbox One"	11.99	https://www.microsoft.com/en-ca/store/d/abzu-for-xbox-one/8W23VXQ3466B/3QDT	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1v9i3?ver=ae94	new		812872018911	CA:::0.00	505 Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						11.99
8W4VPPGJ3BBN-HB4H	"Xbox Wireless Controller - Green/Orange"	"Experience the enhanced comfort and feel of the new Xbox Wireless Controller, featuring a sleek, military green design with orange accents, textured grip, and Bluetooth technology for gaming on Windows 10 PCs and tablets.[1]  Compatible with Xbox One, Xbox One S, and Xbox One X consoles."	74.99	https://www.microsoft.com/en-ca/store/d/xbox-wireless-controller---greenorange/8W4VPPGJ3BBN/HB4H	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1lcHq?ver=e95e	new		889842161175	CA:::0.00	Microsoft	Electronics	"Video Game Console Accessories"	1P	yes	unisex	adult	Electronics > Video Game Console Accessories						74.99
8W4WVNHZGMQS-6QDH	"For Honor Gold Edition for Xbox One"	"Pierce the fog of war and join bold Knights, brutal Vikings, and deadly Samurais as they battle to rebuild their nations."	59.99	https://www.microsoft.com/en-ca/store/d/for-honor-gold-edition-for-xbox-one/8W4WVNHZGMQS/6QDH	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1sxWB?ver=245b	new		887256024109	CA:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						59.99
8W5TV2QD8TRK-4XW6	"Final Fantasy XV Day One Edition for Xbox One"	"Day One Edition includes:  Final Fantasy XV full game  Masamune DLC weapon"	39.99	https://www.microsoft.com/en-ca/store/d/final-fantasy-xv-day-one-edition-for-xbox-one/8W5TV2QD8TRK/4XW6	Gaming	in stock	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1ruUj?ver=be69	new		662248915043	CA:::0.00	Square Enix	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						39.99
8W68VXXMN260-HVGX	"SCUF Forza Elite Wireless Controller"	"To celebrate Forza Motorsport 7, SCUF has teamed up with Porsche and Turn 10 Studios to create this limited-edition controller. It's custom crafted with an exclusive silver finish, red and black racing stripes, black carbon fiber accents, and real Alcantara leather handles.  Compatible with Xbox One, Xbox One S, and Xbox One X consoles."	399	https://www.microsoft.com/en-ca/store/d/xbox-elite-wireless-controllers/8W68VXXMN260/HVGX	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWfPab?ver=3444	new			CA:::0.00		Software	"Video Game Software"		no	unisex	adult	Software > Video Game Software						399
8W6KV4FV3S64-13J3	"Take 2 Bioshock: The Collection CA Xbox One"	"Take 2 Bioshock: The Collection CA Xbox One"	79.99	https://www.microsoft.com/en-ca/store/d/bioshock-the-collection-for-xbox-one/8W6KV4FV3S64/13J3	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1jwDC?ver=db7a	new		710425497636	CA:::0.00	Take 2	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.99
8W79T03B5N4S-0DD7	"Fortnite for Xbox One"	"The Storm came and the monsters followed. Lead your Heroes to fight back the enemy, build huge forts, craft exotic weapons, find piles of loot to help survivors, and explore the large, destructible world of Fortnite."	79.99	https://www.microsoft.com/en-ca/store/d/fortnite-for-xbox-one/8W79T03B5N4S/0DD7	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWcD2E?ver=2ae1	new			CA:::0.00	Gearbox	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.99
8W7ZJ6R64N7X-J4ST	"PERFECT FIT Surface Book PrivacyShield"	"PERFECT FIT Surface Book PrivacyShield"	64.99	https://www.microsoft.com/en-ca/store/d/perfectfit-surface-book-privacyshield-screen-protector/8W7ZJ6R64N7X/J4ST	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW18gt?ver=98a0	new		602573178249	CA:::0.00	PERFECT FIT	Electronics	"Electronics Accessories"	3P	yes	unisex	adult	Electronics > Electronics Accessories > Electronics Films & Shields > Privacy Filters						64.99
8W8WHRMTBJL5-3N4K	" HTC Vive Face Cushion (Narrow)"	"This set of two interchangeable foam inserts for the HTC Vive headset keeps your forehead and cheeks comfortable while you play. Vive ships with the wide face cushion installed, but if you notice light coming in, try using the narrow one."	34.99	https://www.microsoft.com/en-ca/store/d/-htc-vive-face-cushion/8W8WHRMTBJL5/3N4K	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1vjH1?ver=f97f	new		821793048266	CA:::0.00	HTC	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						19.99
8W8WHRMTBJL5-F6R4	" HTC Vive Face Cushion (Wide)"	"This set of two interchangeable foam inserts for the HTC Vive headset keeps your forehead and cheeks comfortable while you play. Vive ships with the wide face cushion installed, but if you notice light coming in, try using the narrow one."	34.99	https://www.microsoft.com/en-ca/store/d/-htc-vive-face-cushion/8W8WHRMTBJL5/F6R4	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1vu4z?ver=7b90	new		821793048259	CA:::0.00	HTC	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						19.99
8W91R774PDKK-9SWG	"Samsung HMD Odyssey Windows Mixed Reality Headset with Motion Controllers"	"Escape into a world of imagination with Windows Mixed Reality.¹ Set up your virtual home with great content—travel, sports, culture, live concerts, and games—in 10 minutes or less².  All you need is a headset and a compatible Windows PC. "	649	https://www.microsoft.com/en-ca/store/d/samsung-hmd-odyssey-windows-mixed-reality-headset-with-motion-controllers/8W91R774PDKK/9SWG	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1FBct?ver=083a	new		887276246826	CA:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						649
