"Version","ID","Name","productURL","imageURL","price","Description","Longid","deliveryTime","shortDescription","previousPrice","shippingCost","brand","Party","Category","Secondary Category"
"2","8ZMSHLQ4J6JF-K1J6","MSI Aegis-216US Signature Edition Gaming Desktop","https://www.microsoft.com/en-us/store/d/msi-aegis-216us-signature-edition-gaming-desktop/8ZMSHLQ4J6JF/K1J6","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1o0Zt?ver=4fd1","1499","MSI Aegis-216US","8ZMSHLQ4J6JF","02/09/2018","MSI Aegis-216US","1499","0","Microsoft","3P","PCs","PC"
"2","8ZNCPB319SJZ-269D","Halo Collectible Pin Set","https://www.microsoft.com/en-us/store/d/halo-collectible-pin-set/8ZNCPB319SJZ/269D","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWackR?ver=b49c","14.99","Show your allegiance with this official, three-piece Halo: Guardians 5 commemorative pin set. These die-struck cloisonné pins are made from sturdy metal with a smooth, glossy finish. The three pins in this set are:   Fireteam Osiris: Spartan special forces commanded by Spartan Locke  Blue Team: Spartans led by the legendary Master Chief  Swords of Sanghelios: An ancient alliance restored by the Arbiter","8ZNCPB319SJZ","02/09/2018","Halo Collectible Pin Set","14.99","0","Microsoft","1P","Gaming","Games & Content"
"2","8ZNK82972G53-HRVF","Super Lucky's Tale for Xbox One","https://www.microsoft.com/en-us/store/d/super-luckys-tale-for-xbox-one/8ZNK82972G53/HRVF","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9Cp8?ver=fbe9","29.99","Experience Lucky’s bright, colorful, and immersive world in breathtaking 4K¹ in this delightful journey filled with endearing characters and unpredictable challenges. Games play better on Xbox One X. ","8ZNK82972G53","02/09/2018","Super Lucky's Tale for Xbox One","29.99","0","Microsoft","1P","Gaming","Games and Content"
"2","8ZP1FM694Q76-F60R","The Golf Club 2 PC Game","https://www.microsoft.com/en-us/store/d/the-golf-club-2-pc-game/8ZP1FM694Q76/F60R","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RWaUyc?ver=1968","39.99","Get a head start on your golf career, and rise to fame and fortune with the “Aristocrat” bonus in-game content.","8ZP1FM694Q76","02/09/2018","The Golf Club 2 PC Game","39.99","0","Microsoft","3P","Gaming","Games & Content"
"2","8ZP79MTTL95C-9L4B","Road Rage for Xbox One","https://www.microsoft.com/en-us/store/d/road-rage-for-xbox-one/8ZP79MTTL95C/9L4B","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1vbWQ?ver=9688","29.99","Maximum Games Road Rage Xbox One","8ZP79MTTL95C","02/09/2018","Maximum Games Road Rage Xbox One","29.99","0","Microsoft","3P","Gaming","Games and Content"
"2","8ZPKSFTQLVZ7-4QZ4","Dell Gaming Backpack 15","https://www.microsoft.com/en-us/store/d/dell-gaming-backpack-15/8ZPKSFTQLVZ7/4QZ4","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1DV9l?ver=5646","49.99","Keep your laptop, gaming gear, and accessories organized in this spacious backpack, featuring an EVA molded front shield and a foam padded interior. It also features a deployable rain cover to keep your device extra safe in adverse weather. Fits most Dell laptops up to 15-inches","8ZPKSFTQLVZ7","02/09/2018","Dell Gaming Backpack 15","49.99","0","Microsoft","3P","PCs","PC"
"2","8ZPQXTNVN75F-0984","Logitech Spotlight Presenter Remote","https://www.microsoft.com/en-us/store/d/logitech-spotlight-presenter-remote/8ZPQXTNVN75F/0984","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1EaGH?ver=5baa","129.99","Make your presentations smoother and more effective with this slim remote.","8ZPQXTNVN75F","02/09/2018","Logitech Spotlight Presenter Remote (Slate)","129.99","0","Microsoft","3P","PCs","PC"
"2","8ZPQXTNVN75F-353X","Logitech Spotlight Presenter Remote","https://www.microsoft.com/en-us/store/d/logitech-spotlight-presenter-remote/8ZPQXTNVN75F/353X","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1EaGH?ver=5baa","129.99","Make your presentations smoother and more effective with this slim remote.","8ZPQXTNVN75F","02/09/2018","Logitech Spotlight Presenter Remote (Gold)","129.99","0","Microsoft","3P","PCs","PC"
"2","8ZR1H1FL34K3-7VW4","Dell XPS 27 XPS7760-7519BLK-PUS All-in-One","https://www.microsoft.com/en-us/store/d/dell-xps-27-xps7760-7519blk-pus-all-in-one/8ZR1H1FL34K3/7VW4","https://img-prod-cms-rt-microsoft-com.akamaized.net//cms/api/am/imageFileData/RW8YPE?ver=19d3","1999"," 27-inch 4K UHD touchscreen  Intel Core i7-7700  16GB memory/2TB HDD + 32GB SSD  AMD Radeon RX 570 graphics  Includes wireless keyboard and mouse  Thunderbolt 3 port","8ZR1H1FL34K3","02/09/2018","Dell XPS 27 XPS7760-7519BLK-PUS All-in-One","2549","0","Microsoft","3P","PCs","PC"
"2","8ZR1R9X09JLX-5H4C","JBL Clip+ Portable Wireless Speaker","https://www.microsoft.com/en-us/store/d/jbl-clip-portable-wireless-speaker/8ZR1R9X09JLX/5H4C","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW1t9S?ver=bd01","39.95","This feather-light and splashproof portable speaker from JBL clips to your clothes or backpack for hours of music on the go—come rain or shine.","8ZR1R9X09JLX","02/09/2018","JBL Clip+ Portable Wireless Speaker (Blue)","39.95","0","Microsoft","3P","Acc & Services","IoT"
