id	"Title"	"description"	price	link	product_type	availability	image_link	condition	shippingweight	gtin	shipping	brand	custom_label_0	"custom_label_1"	custom_label_3	identifier_exists	gender	age_group	Google_product_category	custom_label_4	custom_label_2	promotion_Id	display_ads_title	display_ads_value	Sale_Price
8MP185KP4H3Z-34Z6	"Forza Motorsport 7 for Xbox One"	"Experience the thrill of motorsport at the limit with the most comprehensive, beautiful, and authentic racing game ever made. Games play better on Xbox One X.  "	99.95	https://www.microsoft.com/en-au/store/d/forza-motorsport-7-for-xbox-one/8MP185KP4H3Z/34Z6	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9Cpk?ver=2d04	new		889842227864	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						99.95
8MP185KP4H3Z-5C1S	"Forza Motorsport 7 Ultimate Edition for Xbox One"	"Includes Forza Motorsport 7 game disc, Steelbook case, Forza Motorsport 7 Car Pass, Day One Car Pack, and VIP membership. Games play better on Xbox One X. "	139.95	https://www.microsoft.com/en-au/store/d/forza-motorsport-7-for-xbox-one/8MP185KP4H3Z/5C1S	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9Cpm?ver=631a	new		889842228137	AU:::0.00	Microsoft	Software	"Video Game Software"	1P	yes	unisex	adult	Software > Video Game Software						139.95
8MSRBF7M1T4H-6SSN	"Xbox Wireless Controller - Recon Tech Special Edition"	"Equip yourself with the Xbox Wireless Controller - Recon Tech Special Edition, featuring a sleek, dark gray military design, rubberized diamond grip, and Bluetooth technology for gaming on Windows 10 PCs and tablets."	99.95	https://www.microsoft.com/en-au/store/d/xbox-wireless-controller---recon-tech-special-edition/8MSRBF7M1T4H/6SSN	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1zyBS?ver=b5ec	new		889842161168	AU:::0.00	Microsoft	Electronics	"Electronics Accessories"	1P	yes	unisex	adult	Electronics > Electronics Accessories > Computer Components > Input Devices > Game Controllers						99.95
8MTGWHD9CDW4-DLRR	"Dishonored 2 for Xbox One"	"Use your supernatural abilities and smarts as a merciless assassin out to eliminate your targets by any means necessary."	89.95	https://www.microsoft.com/en-au/store/d/dishonored-2-for-xbox-one/8MTGWHD9CDW4/DLRR	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1qRWa?ver=603d	new		5055856407645	AU:::0.00	Bethesda	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						89.95
8MWWS26QCN9F-5Q16	"Titanfall 2 for Xbox One"	"Return to the Frontier as a Pilot or 20-foot tall Titan in this explosive and action-packed sequel to award-winning Titanfall."	99.95	https://www.microsoft.com/en-au/store/d/titanfall-2-for-xbox-one/8MWWS26QCN9F/5Q16	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1f4St?ver=45bb	new		889842123098	AU:::0.00	EA	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						99.95
8N10XG0VK64C-8773	"Mafia III for Xbox One"	"Make it to the top of New Bordeaux’s underworld by any means necessary in this gripping tale of revenge and redemption."	79.95	https://www.microsoft.com/en-au/store/d/mafia-iii-for-xbox-one/8N10XG0VK64C/8773	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1gIkO?ver=e95d	new			AU:::0.00	2k Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.95
8n4tl4lthqrn-1FZJ	"LEGO Marvel Super Heroes 2 for Xbox One"	"Join your favourite Super Heroes and Super Villains from different eras and realities as they go head-to-head with the time-travelling Kang the Conqueror in an epic adventure."	89.95	https://www.microsoft.com/en-au/store/d/lego-marvel-super-heroes-2-for-xbox-one/8n4tl4lthqrn/1FZJ	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Bh5S?ver=2303	new		9325336202616	AU:::0.00		Software	"Video Game Software"		yes	unisex	adult	Software > Video Game Software						89.95
8N59X0DWP9HM-9DQH	"Assassin's Creed Origins Standard Edition for Xbox One"	"Prove your worth as you unravel the origin story of the Assassin’s brotherhood."	89.95	https://www.microsoft.com/en-au/store/d/assassins-creed-origins-standard-edition-for-xbox-one/8N59X0DWP9HM/9DQH	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW9OLn?ver=c9a6	new			AU:::0.00	Ubisoft	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						89.95
8N5G0J1QF74B-BX98	"HP Windows Mixed Reality Headset with Motion Controllers"	"Escape into a world of imagination with Windows Mixed Reality.¹ Set up your virtual home with great content—travel, sports, culture, live concerts, and games—in 10 minutes or less.² All you need is a headset and a compatible Windows PC."	799	https://www.microsoft.com/en-au/store/d/hp-windows-mixed-reality-headset-with-motion-controllers/8N5G0J1QF74B/BX98	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1DvBX?ver=3265	new			AU:::0.00		Software	"Video Game Software"		no	unisex	adult	Software > Video Game Software						799
8N6Z0CMLB25B-K9VR	"Middle-earth: Shadow of War for Xbox One"	"Venture back to Middle-earth in this grim sequel to Shadow of Mordor."	79.95	https://www.microsoft.com/en-au/store/d/middle-earth-shadow-of-war-for-xbox-one/8N6Z0CMLB25B/K9VR	Gaming	in stock	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW1IJB?ver=2681	new		9325336202531	AU:::0.00	WB Games	Software	"Video Game Software"	3P	yes	unisex	adult	Software > Video Game Software						79.95
