ProductID	Locale	name	SKU	productURL	imageURL	CurrencyCode	Price 	ProductFamily	MSUPC	Brand	Availability
8NKT9WTTRBJK-BV89	en_ca	Surface Pro - Intel Core i7 / 256GB SSD / 8GB RAM	FJZ-00001	https://www.microsoft.com/en-ca/store/d/surface-pro/8NKT9WTTRBJK/BV89?WT.mc_id=en_ca_datafeed_intel_Surface+Pro+-+Intel+Core+i7+%2f+256GB+SSD+%2f+8GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	1999.00	Surface	889842193336	Microsoft	1
8NKT9WTTRBJK-C2HQ	en_ca	Surface Pro - Intel Core i7 / 1TB SSD / 16GB RAM	FKK-00001	https://www.microsoft.com/en-ca/store/d/surface-pro/8NKT9WTTRBJK/C2HQ?WT.mc_id=en_ca_datafeed_intel_Surface+Pro+-+Intel+Core+i7+%2f+1TB+SSD+%2f+16GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	3449.00	Surface	889842193619	Microsoft	1
8NKT9WTTRBJK-H3CS	en_ca	Surface Pro - Intel Core m3 / 128GB SSD / 4GB RAM	FJR-00001	https://www.microsoft.com/en-ca/store/d/surface-pro/8NKT9WTTRBJK/H3CS?WT.mc_id=en_ca_datafeed_intel_Surface+Pro+-+Intel+Core+m3+%2f+128GB+SSD+%2f+4GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	1049.00	Surface	889842192698	Microsoft	1
8NKT9WTTRBJK-L6FV	en_ca	Surface Pro - Intel Core i7 / 512GB SSD / 16GB RAM	FKH-00001	https://www.microsoft.com/en-ca/store/d/surface-pro/8NKT9WTTRBJK/L6FV?WT.mc_id=en_ca_datafeed_intel_Surface+Pro+-+Intel+Core+i7+%2f+512GB+SSD+%2f+16GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	2799.00	Surface	889842193473	Microsoft	1
8NKT9WTTRBJK-LHL3	en_ca	Surface Pro - Intel Core i5 / 128GB SSD / 4GB RAM	FJT-00001	https://www.microsoft.com/en-ca/store/d/surface-pro/8NKT9WTTRBJK/LHL3?WT.mc_id=en_ca_datafeed_intel_Surface+Pro+-+Intel+Core+i5+%2f+128GB+SSD+%2f+4GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	1049.00	Surface	889842193053	Microsoft	1
8TXJ08Q9LXDT-4KV4	en_ca	Microsoft Surface Book - 512GB / Intel Core i5 (French)	SV5-00005	https://www.microsoft.com/en-ca/store/d/surface-book/8TXJ08Q9LXDT/4KV4?WT.mc_id=en_ca_datafeed_intel_Microsoft+Surface+Book+-+512GB+%2f+Intel+Core+i5+(French)	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta7?ver=d80d	CAD	2129.00	Surface	889842167092	Microsoft	1
8XCW9BBPVFV9-6TD2	en_ca	Surface Studio - 2TB / Intel Core i7	43Q-00001	https://www.microsoft.com/en-ca/store/d/surface-studio/8XCW9BBPVFV9/6TD2?WT.mc_id=en_ca_datafeed_intel_Surface+Studio+-+2TB+%2f+Intel+Core+i7	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uyOA?ver=cce1	CAD	5549.00	Surface	889842110951	Microsoft	1
8XCW9BBPVFV9-961H	en_ca	Surface Studio - 1TB / Intel Core i7	42Q-00001	https://www.microsoft.com/en-ca/store/d/surface-studio/8XCW9BBPVFV9/961H?WT.mc_id=en_ca_datafeed_intel_Surface+Studio+-+1TB+%2f+Intel+Core+i7	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uyOA?ver=cce1	CAD	4599.00	Surface	889842110944	Microsoft	1
8Z43QVGW95DN-36MT	en_ca	Surface Book with Performance Base - 512GB / Intel Core i7 (English)	96D-00001	https://www.microsoft.com/en-ca/store/d/surface-book-with-performance-base/8Z43QVGW95DN/36MT?WT.mc_id=en_ca_datafeed_intel_Surface+Book+with+Performance+Base+-+512GB+%2f+Intel%c2%a0Core%c2%a0i7+(English)	http://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta6?ver=55eb	CAD	3629.00	Surface	889842152258	Microsoft	1
907TDS4DGWWV-2X36	en_ca	Microsoft Surface Pro i7 16GB 1TB - Commercial	FKL-00001	https://www.microsoft.com/en-ca/store/d/surface-pro---commercial/907TDS4DGWWV/2X36?WT.mc_id=en_ca_datafeed_intel_Microsoft+Surface+Pro+i7+16GB+1TB+-+Commercial	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	CAD	3449.00	Surface	889842194456	Microsoft	1
