ProductID	Locale	name	SKU	productURL	imageURL	CurrencyCode	Price 	ProductFamily	MSUPC	Brand	Availability
8NKT9WTTRBJK-10L4	en_nz	Surface Pro - 128 GB / Intel Core m3 / 4GB RAM	FJR-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/10L4?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+128+GB+%2f+Intel+Core+m3+%2f+4GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	1349.00	Surface	889842192971	Microsoft	1
8NKT9WTTRBJK-1GRS	en_nz	Surface Pro - 256 GB / Intel Core i5 / 8GB RAM	FJX-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/1GRS?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+256+GB+%2f+Intel+Core+i5+%2f+8GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	2199.00	Surface	889842193251	Microsoft	1
8NKT9WTTRBJK-2318	en_nz	Surface Pro - 1 TB / Intel Core i7 / 16GB RAM	FKK-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/2318?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+1+TB+%2f+Intel+Core+i7+%2f+16GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	4449.00	Surface	889842193671	Microsoft	1
8NKT9WTTRBJK-4X0T	en_nz	Surface Pro - 128 GB / Intel Core i5 / 4GB RAM	FJT-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/4X0T?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+128+GB+%2f+Intel+Core+i5+%2f+4GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	1699.00	Surface	889842193114	Microsoft	1
8NKT9WTTRBJK-640N	en_nz	Surface Pro - 256 GB / Intel Core i7 / 8GB RAM	FJZ-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/640N?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+256+GB+%2f+Intel+Core+i7+%2f+8GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	2649.00	Surface	889842193398	Microsoft	1
8NKT9WTTRBJK-BPGQ	en_nz	Surface Pro - 512 GB / Intel Core i7 / 16GB RAM	FKH-00007	https://www.microsoft.com/en-nz/store/d/surface-pro/8NKT9WTTRBJK/BPGQ?WT.mc_id=en_nz_datafeed_intel_Surface+Pro+-+512+GB+%2f+Intel+Core+i7+%2f+16GB+RAM	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RW7Li9?ver=5198	NZD	3649.00	Surface	889842193534	Microsoft	1
8SJ2VJ3X6L59-BBQ4	en_nz	Surface Studio - 1TB / Intel Core i5	42L-00010	https://www.microsoft.com/en-nz/store/d/surface-studio/8SJ2VJ3X6L59/BBQ4?WT.mc_id=en_nz_datafeed_intel_Surface+Studio+-+1TB+%2f+Intel+Core+i5	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uyOA?ver=cce1	NZD	5199.00	Surface	889842196689	Microsoft	1
8SJ2VJ3X6L59-FZGR	en_nz	Surface Studio - 1TB / Intel Core i7	42Q-00009	https://www.microsoft.com/en-nz/store/d/surface-studio/8SJ2VJ3X6L59/FZGR?WT.mc_id=en_nz_datafeed_intel_Surface+Studio+-+1TB+%2f+Intel+Core+i7	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uyOA?ver=cce1	NZD	6099.00	Surface	889842196795	Microsoft	1
8SJ2VJ3X6L59-LML3	en_nz	Surface Studio - 2TB / Intel Core i7	43Q-00010	https://www.microsoft.com/en-nz/store/d/surface-studio/8SJ2VJ3X6L59/LML3?WT.mc_id=en_nz_datafeed_intel_Surface+Studio+-+2TB+%2f+Intel+Core+i7	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1uyOA?ver=cce1	NZD	7299.00	Surface	889842196900	Microsoft	1
8TXJ08Q9LXDT-14FQ	en_nz	Microsoft Surface Book - 256GB / Intel Core i5	SX3-00004	https://www.microsoft.com/en-nz/store/d/surface-book/8TXJ08Q9LXDT/14FQ?WT.mc_id=en_nz_datafeed_intel_Microsoft+Surface+Book+-+256GB+%2f+Intel+Core+i5	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta7?ver=d80d	NZD	2258.00	Surface	889842015546	Microsoft	1
8TXJ08Q9LXDT-C2CX	en_nz	Microsoft Surface Book - 512GB /  Intel Core i5	SV5-00008	https://www.microsoft.com/en-nz/store/d/surface-book/8TXJ08Q9LXDT/C2CX?WT.mc_id=en_nz_datafeed_intel_Microsoft+Surface+Book+-+512GB+%2f++Intel+Core+i5	https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1hta7?ver=d80d	NZD	2589.30	Surface	889842171952	Microsoft	1
